,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
2671,None,262.11,0.0,0.0,40,Snow,heavy snow,1/4/2013 12:00,4880,high
20864,None,261.85,0.0,0.0,1,Mist,mist,1/27/2016 4:00,844,very low
18795,None,288.27,0.0,0.0,90,Clouds,overcast clouds,10/5/2015 14:00,5314,high
26071,None,291.46,0.0,0.0,90,Rain,light rain,8/27/2016 14:00,4224,low
24459,None,298.21,0.0,0.0,75,Clouds,broken clouds,6/25/2016 22:00,3255,low
3427,None,268.73,0.0,0.0,90,Mist,mist,2/8/2013 5:00,2391,very low
5871,None,288.77,0.0,0.0,1,Clear,sky is clear,5/9/2013 0:00,576,very low
23513,None,296.55,0.0,0.0,1,Clear,sky is clear,5/21/2016 11:00,4755,high
41493,None,265.55,0.0,0.0,1,Mist,mist,2/14/2018 6:00,5402,high
43930,None,288.39799999999997,0.0,0.0,80,Rain,light rain,5/9/2018 1:00,319,very low
26100,None,288.91,0.0,0.0,90,Mist,mist,8/28/2016 4:00,383,very low
18931,None,289.31,0.0,0.0,1,Clear,sky is clear,10/11/2015 9:00,1827,very low
30092,None,261.82,0.0,0.0,1,Mist,mist,1/16/2017 7:00,4284,low
23670,None,290.93,0.3,0.0,90,Rain,light rain,5/27/2016 3:00,382,very low
8352,None,290.32,0.0,0.0,44,Clouds,scattered clouds,8/11/2013 22:00,1896,very low
44246,None,294.86,0.0,0.0,40,Clouds,scattered clouds,5/20/2018 17:00,3768,low
30212,None,272.75,0.0,0.0,1,Fog,fog,1/19/2017 3:00,486,very low
32576,None,279.77,0.0,0.0,40,Clouds,scattered clouds,4/11/2017 13:00,4729,high
21007,None,267.61,0.0,0.0,90,Mist,mist,2/3/2016 3:00,338,very low
31261,None,270.09,0.0,0.0,75,Snow,snow,2/24/2017 5:00,2391,very low
14517,None,297.33,0.0,0.0,1,Clear,sky is clear,5/20/2014 16:00,6689,very high
42626,None,275.56,0.0,0.0,90,Snow,light snow,3/26/2018 3:00,336,very low
2530,None,259.01,0.0,0.0,1,Clear,sky is clear,12/30/2012 20:00,2277,very low
16648,None,303.15,0.0,0.0,1,Clear,sky is clear,7/17/2015 18:00,4466,high
43616,None,277.35,0.0,0.0,40,Clouds,scattered clouds,4/27/2018 4:00,849,very low
16485,None,293.72,0.0,0.0,1,Mist,mist,7/12/2015 6:00,817,very low
1690,None,277.41,0.0,0.0,75,Mist,mist,12/3/2012 23:00,1006,very low
44628,None,289.0,0.0,0.0,90,Drizzle,light intensity drizzle,6/2/2018 14:00,4896,high
44965,None,296.69,0.0,0.0,75,Rain,light rain,6/14/2018 22:00,2284,very low
40578,None,253.22,0.0,0.0,5,Clear,sky is clear,1/12/2018 12:00,4958,high
38745,None,272.5,0.0,0.0,5,Clear,sky is clear,11/7/2017 12:00,4866,high
33871,None,282.89,0.0,0.0,90,Drizzle,drizzle,5/21/2017 3:00,403,very low
1820,None,269.93,0.0,0.0,93,Clouds,overcast clouds,12/9/2012 6:00,759,very low
36925,None,289.86,0.0,0.0,90,Clouds,overcast clouds,9/5/2017 15:00,5799,high
20924,None,273.58,0.0,0.0,1,Clear,sky is clear,1/30/2016 10:00,4379,high
13278,None,278.74,0.0,0.0,20,Clouds,few clouds,3/29/2014 18:00,4283,low
46637,None,293.79,0.0,0.0,1,Mist,mist,8/12/2018 0:00,1406,very low
7241,None,297.76,0.0,0.0,56,Clouds,broken clouds,6/26/2013 23:00,1403,very low
9667,None,274.21,1.02,0.0,64,Rain,moderate rain,11/6/2013 11:00,4748,high
12418,None,263.14,0.0,0.0,1,Clear,sky is clear,2/21/2014 19:00,2322,very low
28379,None,274.09,0.0,0.0,90,Snow,light snow,11/23/2016 10:00,3901,low
38513,None,271.79,0.0,0.0,90,Clouds,overcast clouds,10/31/2017 7:00,6541,very high
12507,None,253.4,0.0,0.0,1,Clear,sky is clear,2/25/2014 9:00,5052,high
34737,None,292.72,0.0,0.0,90,Rain,heavy intensity rain,6/22/2017 11:00,4659,high
35758,None,301.48,0.0,0.0,40,Clouds,scattered clouds,7/28/2017 17:00,5775,high
6071,None,298.25,0.0,0.0,75,Clouds,broken clouds,5/16/2013 19:00,3451,low
22387,None,274.48,0.0,0.0,40,Clouds,scattered clouds,4/11/2016 1:00,342,very low
45439,None,300.08,0.0,0.0,1,Clear,sky is clear,6/30/2018 6:00,1489,very low
36526,None,289.49,0.0,0.0,1,Clear,sky is clear,8/22/2017 23:00,1172,very low
26397,None,297.31,0.0,0.0,75,Rain,light rain,9/6/2016 18:00,4044,low
19459,None,274.87,0.0,0.0,1,Clear,sky is clear,11/13/2015 10:00,4486,high
27792,None,279.62,0.0,0.0,1,Fog,fog,11/3/2016 7:00,6308,very high
15364,None,292.64,0.0,0.0,0,Clear,Sky is Clear,7/9/2014 22:00,2373,very low
46724,None,292.48,0.0,0.0,1,Clear,sky is clear,8/15/2018 8:00,5930,very high
31534,None,284.35,0.0,0.0,90,Drizzle,drizzle,3/6/2017 10:00,4296,low
46640,None,292.43,0.0,0.0,1,Mist,mist,8/12/2018 2:00,678,very low
9852,None,283.01,0.0,0.0,64,Clouds,broken clouds,11/14/2013 14:00,5550,high
21227,None,264.41,0.0,0.0,90,Snow,light snow,2/11/2016 18:00,4817,high
1413,None,274.35,0.0,0.0,90,Mist,mist,11/23/2012 17:00,3900,low
31165,None,282.47,0.0,0.0,68,Rain,light rain,2/20/2017 20:00,2367,very low
46262,None,299.82,0.0,0.0,20,Rain,proximity shower rain,7/29/2018 15:00,4412,high
852,None,272.06,0.0,0.0,1,Clear,sky is clear,11/2/2012 23:00,1693,very low
12770,None,270.27,0.0,0.0,20,Clouds,few clouds,3/8/2014 13:00,4821,high
27598,None,278.976,0.0,0.0,100,Rain,moderate rain,10/26/2016 6:00,5270,high
46666,None,297.22,0.0,0.0,5,Clear,sky is clear,8/12/2018 22:00,1930,very low
324,None,282.33,0.0,0.0,75,Clouds,broken clouds,10/15/2012 23:00,927,very low
43700,None,288.5,0.0,0.0,40,Rain,light rain,4/30/2018 12:00,4825,high
7744,None,304.82,0.0,0.0,12,Clouds,few clouds,7/17/2013 18:00,4954,high
31294,None,270.08,0.0,0.0,20,Clouds,few clouds,2/25/2017 12:00,5280,high
603,None,286.41,0.0,0.0,90,Drizzle,light intensity drizzle,10/25/2012 14:00,5450,high
34640,None,294.21,0.0,0.0,75,Clouds,broken clouds,6/18/2017 16:00,4469,high
13547,None,289.84,0.0,0.0,90,Clouds,overcast clouds,4/10/2014 0:00,608,very low
44908,None,296.22,0.0,0.0,90,Clouds,overcast clouds,6/12/2018 13:00,4777,high
17077,None,298.28,0.0,0.0,40,Clouds,scattered clouds,8/3/2015 15:00,5664,high
2493,None,268.34,0.0,0.0,75,Haze,haze,12/29/2012 15:00,4325,low
539,None,285.51,0.0,0.0,90,Clouds,overcast clouds,10/24/2012 1:00,298,very low
25116,None,303.57,0.0,0.0,40,Clouds,scattered clouds,7/21/2016 13:00,4606,high
40994,None,274.22,0.0,0.0,1,Clear,sky is clear,1/26/2018 6:00,5179,high
32816,None,288.95,0.0,0.0,75,Clouds,broken clouds,4/18/2017 14:00,5182,high
6735,None,286.38,0.36,0.0,92,Rain,light rain,6/6/2013 12:00,5181,high
16238,None,290.0,0.0,0.0,1,Mist,mist,7/4/2015 4:00,387,very low
37993,None,284.21,0.0,0.0,1,Clear,sky is clear,10/13/2017 12:00,5447,high
16255,None,300.9,0.0,0.0,40,Haze,haze,7/4/2015 14:00,3198,low
3274,None,252.13,0.0,0.0,99,Clouds,overcast clouds,2/1/2013 9:00,4996,high
4699,None,274.17,0.0,0.0,75,Mist,mist,4/1/2013 2:00,248,very low
31820,None,277.08,0.0,0.0,75,Clouds,broken clouds,3/17/2017 11:00,5191,high
31543,None,289.1,0.0,0.0,90,Thunderstorm,proximity thunderstorm,3/6/2017 18:00,4261,low
17038,None,296.5,0.0,0.0,1,Clear,sky is clear,8/2/2015 0:00,1412,very low
12246,None,263.78,0.0,0.0,1,Clear,sky is clear,2/14/2014 15:00,5999,very high
21613,None,273.79,0.0,0.0,90,Mist,mist,3/4/2016 17:00,5979,very high
3384,None,267.12,0.0,0.0,90,Clouds,overcast clouds,2/6/2013 2:00,271,very low
22971,None,279.98,0.0,0.0,1,Clear,sky is clear,5/2/2016 1:00,149,very low
30110,None,272.08,0.0,0.0,90,Clouds,overcast clouds,1/16/2017 18:00,3391,low
10465,None,256.97,0.0,0.0,64,Clouds,broken clouds,12/6/2013 15:00,5661,high
16095,None,290.49,0.0,0.0,1,Mist,mist,6/29/2015 2:00,330,very low
26299,None,288.73,0.0,0.0,90,Clouds,overcast clouds,9/4/2016 6:00,1352,very low
39293,None,288.38,0.0,0.0,75,Clouds,broken clouds,11/27/2017 15:00,5748,high
8536,None,292.18,0.0,0.0,80,Clouds,broken clouds,8/20/2013 8:00,6168,very high
46038,None,292.72,0.0,0.0,75,Clouds,broken clouds,7/20/2018 22:00,3032,low
18819,None,292.3,0.0,0.0,1,Clear,sky is clear,10/6/2015 18:00,4645,high
11655,None,256.63,0.0,0.0,90,Snow,light snow,1/21/2014 22:00,1364,very low
26996,None,286.93,0.0,0.0,0,Clear,Sky is Clear,9/30/2016 11:00,4607,high
25881,None,291.08,0.0,0.0,75,Rain,moderate rain,8/20/2016 18:00,3607,low
25062,None,297.888,0.0,0.0,0,Clear,Sky is Clear,7/19/2016 12:00,4141,low
39745,None,268.22,0.0,0.0,90,Snow,light snow,12/13/2017 19:00,3139,low
35737,None,298.36,0.0,0.0,20,Clouds,few clouds,7/27/2017 21:00,3555,low
43646,None,280.28,0.0,0.0,20,Clouds,few clouds,4/28/2018 10:00,4752,high
3806,None,266.42,0.0,0.0,90,Snow,heavy snow,2/23/2013 3:00,367,very low
16486,None,294.51,0.0,0.0,40,Clouds,scattered clouds,7/12/2015 7:00,1377,very low
6044,None,306.61,0.0,0.0,20,Clouds,few clouds,5/15/2013 16:00,6423,very high
4361,None,262.06,0.0,0.0,1,Clear,sky is clear,3/18/2013 10:00,2946,low
42309,None,272.61,0.0,0.0,1,Clear,sky is clear,3/13/2018 13:00,5062,high
24859,None,295.4,0.0,0.0,75,Clouds,broken clouds,7/11/2016 4:00,848,very low
7073,None,289.77,0.0,0.0,0,Clear,Sky is Clear,6/18/2013 3:00,363,very low
46149,None,290.65,0.0,0.0,40,Clouds,scattered clouds,7/25/2018 7:00,6595,very high
769,None,278.47,0.0,0.0,90,Clouds,overcast clouds,10/30/2012 12:00,5125,high
31630,None,257.51,0.0,0.0,1,Clear,sky is clear,3/10/2017 7:00,6536,very high
9015,None,289.72,0.0,0.0,90,Rain,light rain,9/18/2013 5:00,2940,low
24157,None,295.17,0.0,0.0,64,Clouds,broken clouds,6/13/2016 11:00,4564,high
22802,None,284.69,0.0,0.0,90,Drizzle,drizzle,4/25/2016 13:00,4860,high
43865,None,297.01,0.0,0.0,1,Clear,sky is clear,5/6/2018 18:00,3778,low
21583,None,268.88,0.0,0.0,1,Clear,sky is clear,3/2/2016 11:00,4601,high
9012,None,289.58,0.0,0.0,90,Drizzle,light intensity drizzle,9/18/2013 4:00,850,very low
20545,None,254.82,0.0,0.0,1,Clear,sky is clear,1/10/2016 15:00,3601,low
37157,None,302.95,0.0,0.0,20,Clouds,few clouds,9/14/2017 15:00,5975,very high
34329,None,302.27,0.0,0.0,1,Clear,sky is clear,6/7/2017 15:00,5642,high
10757,None,263.47,0.0,0.0,64,Clouds,broken clouds,12/17/2013 20:00,2860,very low
23396,None,289.72,0.0,0.0,20,Clouds,few clouds,5/16/2016 14:00,5165,high
782,None,272.99,0.0,0.0,1,Clear,sky is clear,10/31/2012 1:00,346,very low
27750,None,289.29,0.0,0.0,1,Clear,sky is clear,11/1/2016 14:00,4743,high
13381,None,276.6,0.0,0.0,90,Clouds,overcast clouds,4/3/2014 2:00,260,very low
16780,None,293.46,0.0,0.0,1,Clear,sky is clear,7/22/2015 23:00,1191,very low
14934,None,288.01,0.0,0.0,1,Mist,mist,6/6/2014 5:00,2792,very low
42106,None,271.28,0.0,0.0,90,Mist,mist,3/6/2018 3:00,335,very low
13775,None,285.58,0.0,0.0,90,Clouds,overcast clouds,4/19/2014 12:00,4366,low
36047,None,288.72,0.0,0.0,1,Clear,sky is clear,8/8/2017 2:00,321,very low
30077,None,267.15,0.0,0.0,1,Clear,sky is clear,1/15/2017 21:00,2032,very low
15972,None,297.543,0.0,0.0,0,Clear,Sky is Clear,6/12/2015 18:00,4380,high
24880,None,298.88,0.0,0.0,90,Rain,light rain,7/12/2016 0:00,589,very low
37975,None,290.15,0.0,0.0,1,Clear,sky is clear,10/12/2017 18:00,4980,high
6519,None,286.87,0.0,0.0,90,Mist,mist,5/30/2013 8:00,5902,very high
41551,None,263.78,0.0,0.0,5,Clear,sky is clear,2/16/2018 14:00,5224,high
24336,None,290.66,0.0,0.0,0,Clear,Sky is Clear,6/20/2016 22:00,1926,very low
16783,None,291.91,0.0,0.0,1,Clear,sky is clear,7/23/2015 2:00,349,very low
36792,None,292.82,0.0,0.0,1,Haze,haze,8/31/2017 19:00,3973,low
19855,None,274.22,0.0,0.0,90,Mist,mist,12/6/2015 19:00,2587,very low
22574,None,286.01,0.0,0.0,90,Rain,light rain,4/19/2016 14:00,5282,high
21530,None,285.51,0.0,0.0,1,Clear,sky is clear,2/27/2016 12:00,5136,high
27203,None,272.439,0.0,0.0,0,Clear,Sky is Clear,10/9/2016 2:00,686,very low
28881,None,267.6,0.0,0.0,90,Snow,light snow,12/6/2016 20:00,2560,very low
41708,None,259.94,0.0,0.0,1,Clear,sky is clear,2/21/2018 22:00,1749,very low
11012,None,271.94,0.0,0.0,64,Clouds,broken clouds,12/27/2013 11:00,4555,high
36333,None,294.15,0.0,0.0,90,Mist,mist,8/17/2017 0:00,660,very low
11105,None,255.5,0.0,0.0,64,Clouds,broken clouds,12/30/2013 20:00,1862,very low
4882,None,275.02,0.0,0.0,90,Clouds,overcast clouds,4/8/2013 6:00,5597,high
24690,None,297.81,0.0,0.0,75,Clouds,broken clouds,7/5/2016 10:00,3465,low
18309,None,299.08,0.0,0.0,40,Thunderstorm,proximity thunderstorm,9/16/2015 19:00,3581,low
37022,None,293.36,0.0,0.0,1,Clear,sky is clear,9/9/2017 13:00,4497,high
11794,None,255.69,0.0,0.0,90,Clouds,overcast clouds,1/26/2014 19:00,2089,very low
17905,None,295.55,0.0,0.0,90,Rain,light rain,9/2/2015 11:00,5126,high
16049,None,299.45,0.0,0.0,1,Clear,sky is clear,6/27/2015 13:00,4147,low
38743,None,270.64,0.0,0.0,90,Clouds,overcast clouds,11/7/2017 10:00,4518,high
39783,None,267.88,0.0,0.0,90,Clouds,overcast clouds,12/15/2017 7:00,6307,very high
28345,None,273.95,0.0,0.0,90,Mist,mist,11/22/2016 23:00,903,very low
6535,None,293.78,0.0,0.0,75,Clouds,broken clouds,5/30/2013 21:00,2746,very low
37936,None,275.01,0.0,0.0,1,Clear,sky is clear,10/11/2017 5:00,3016,low
13668,None,269.23,0.0,0.0,75,Clouds,broken clouds,4/15/2014 1:00,316,very low
17041,None,295.2,0.0,0.0,1,Clear,sky is clear,8/2/2015 3:00,382,very low
18829,None,278.58,0.0,0.0,1,Mist,mist,10/7/2015 4:00,910,very low
27176,None,277.572,0.0,0.0,0,Clear,Sky is Clear,10/7/2016 23:00,1766,very low
15855,None,293.55,0.0,0.0,20,Clouds,few clouds,8/1/2014 22:00,2748,very low
36020,None,286.08,0.0,0.0,1,Fog,fog,8/7/2017 4:00,879,very low
21306,None,270.28,0.0,0.0,90,Haze,haze,2/15/2016 11:00,4220,low
19042,None,279.04,0.0,0.0,1,Clear,sky is clear,10/16/2015 12:00,5161,high
27082,None,287.93,0.0,0.0,12,Clouds,few clouds,10/4/2016 1:00,671,very low
24738,None,297.22,0.0,0.0,20,Clouds,few clouds,7/6/2016 21:00,2776,very low
16027,None,296.23,0.55,0.0,40,Thunderstorm,proximity thunderstorm,6/26/2015 18:00,4416,high
37347,None,298.55,0.0,0.0,75,Clouds,broken clouds,9/21/2017 21:00,3936,low
47962,None,284.61,0.0,0.0,90,Clouds,overcast clouds,9/21/2018 13:00,4901,high
30833,None,269.84,0.0,0.0,90,Mist,mist,2/7/2017 8:00,5059,high
37937,None,275.31,0.0,0.0,1,Clear,sky is clear,10/11/2017 6:00,5891,very high
25357,None,289.81,0.0,0.0,75,Clouds,broken clouds,7/30/2016 7:00,1868,very low
4491,None,269.72,0.0,0.0,1,Clear,sky is clear,3/24/2013 0:00,1297,very low
44017,None,280.16,0.0,0.0,1,Clear,sky is clear,5/12/2018 4:00,440,very low
37125,None,290.37,0.0,0.0,1,Clear,sky is clear,9/13/2017 7:00,5721,high
42786,None,272.72,0.0,0.0,90,Snow,snow,3/31/2018 5:00,588,very low
32621,None,281.35,0.0,0.0,90,Mist,mist,4/12/2017 23:00,1424,very low
15959,None,300.48,0.0,0.0,1,Clear,sky is clear,8/7/2014 14:00,5824,very high
44174,None,300.3,0.0,0.0,40,Clouds,scattered clouds,5/17/2018 20:00,3400,low
32899,None,279.95,0.0,0.0,90,Mist,mist,4/20/2017 13:00,5104,high
33659,None,288.62,0.0,0.0,90,Thunderstorm,proximity thunderstorm,5/16/2017 4:00,851,very low
47927,None,290.9,9.62,0.0,90,Fog,fog,9/20/2018 18:00,3898,low
27597,None,279.226,0.0,0.0,92,Rain,moderate rain,10/26/2016 5:00,2716,very low
3220,None,273.05,0.0,0.0,90,Mist,mist,1/30/2013 1:00,370,very low
44333,None,295.08,0.0,0.0,1,Clear,sky is clear,5/24/2018 3:00,363,very low
9834,None,279.83,0.0,0.0,64,Clouds,broken clouds,11/13/2013 19:00,3339,low
26664,None,293.61,0.0,0.0,90,Clouds,overcast clouds,9/16/2016 13:00,4711,high
18070,None,292.03,1.8,0.0,90,Thunderstorm,proximity thunderstorm,9/8/2015 4:00,809,very low
35225,None,292.28,0.0,0.0,90,Mist,mist,7/10/2017 7:00,6597,very high
34704,None,285.69,0.0,0.0,1,Clear,sky is clear,6/21/2017 5:00,3011,low
7509,None,299.27,0.0,0.0,56,Clouds,broken clouds,7/8/2013 1:00,391,very low
31102,None,272.936,0.0,0.0,0,Clear,Sky is Clear,2/18/2017 5:00,608,very low
24319,None,290.04,0.0,0.0,0,Clear,Sky is Clear,6/20/2016 5:00,2998,low
47844,None,288.17,0.25,0.0,90,Drizzle,heavy intensity drizzle,9/19/2018 9:00,5331,high
13679,None,271.62,0.0,0.0,1,Clear,sky is clear,4/15/2014 12:00,5064,high
32939,None,277.83,0.0,0.0,1,Clear,sky is clear,4/22/2017 2:00,698,very low
23234,None,283.22,0.0,0.0,90,Drizzle,drizzle,5/11/2016 8:00,6087,very high
34841,None,283.16,0.0,0.0,1,Clear,sky is clear,6/26/2017 3:00,348,very low
25061,None,297.888,0.0,0.0,0,Clear,Sky is Clear,7/19/2016 11:00,3917,low
21508,None,270.28,0.0,0.0,90,Clouds,overcast clouds,2/26/2016 1:00,423,very low
31577,None,272.41,0.0,0.0,90,Snow,snow,3/8/2017 2:00,303,very low
388,None,285.96,0.0,0.0,90,Clouds,overcast clouds,10/18/2012 14:00,5704,high
21506,None,271.08,0.0,0.0,90,Clouds,overcast clouds,2/25/2016 23:00,1204,very low
24490,None,290.73,0.0,0.0,20,Clouds,few clouds,6/27/2016 5:00,2849,very low
6594,None,297.44,0.0,0.0,40,Clouds,scattered clouds,6/1/2013 14:00,4647,high
45118,None,290.95,0.0,0.0,90,Rain,proximity shower rain,6/19/2018 7:00,5506,high
36572,None,292.68,0.0,0.0,90,Clouds,overcast clouds,8/24/2017 20:00,3362,low
7117,None,295.04,0.0,0.0,92,Clouds,overcast clouds,6/21/2013 1:00,516,very low
7432,None,300.79,0.0,0.0,1,Clear,sky is clear,7/4/2013 18:00,2603,very low
8038,None,283.76,0.0,0.0,0,Clear,Sky is Clear,7/30/2013 5:00,2856,very low
43012,None,271.28,0.0,0.0,5,Clear,sky is clear,4/7/2018 15:00,4908,high
41750,None,270.08,0.0,0.0,90,Snow,light snow,2/23/2018 4:00,830,very low
9543,None,277.98,0.53,0.0,44,Drizzle,light intensity drizzle,10/18/2013 3:00,396,very low
44086,None,290.36,0.0,0.0,90,Drizzle,drizzle,5/14/2018 19:00,3113,low
15451,None,295.37,0.6,0.0,92,Drizzle,light intensity drizzle,7/12/2014 14:00,4426,high
4503,None,273.56,0.0,0.0,1,Clear,sky is clear,3/24/2013 12:00,4409,high
27757,None,280.65,0.0,0.0,1,Clear,sky is clear,11/1/2016 21:00,3161,low
6996,None,286.84,0.0,0.0,0,Clear,Sky is Clear,6/15/2013 5:00,766,very low
34736,None,293.76,0.0,0.0,75,Rain,moderate rain,6/22/2017 10:00,4445,high
4760,None,275.12,0.0,0.0,1,Clear,sky is clear,4/3/2013 18:00,4649,high
30622,None,273.27,0.0,0.0,40,Snow,snow,1/30/2017 20:00,2314,very low
13343,None,269.03,0.0,0.0,90,Clouds,overcast clouds,4/1/2014 11:00,4578,high
29341,None,271.35,0.0,0.0,1,Clear,sky is clear,12/22/2016 0:00,621,very low
244,None,269.23,0.0,0.0,40,Clouds,scattered clouds,10/13/2012 8:00,3479,low
7993,None,284.2,0.0,0.0,48,Clouds,scattered clouds,7/28/2013 7:00,1137,very low
377,None,282.38,0.0,0.0,99,Mist,mist,10/18/2012 3:00,397,very low
1600,None,273.42,0.0,0.0,90,Haze,haze,12/1/2012 9:00,3648,low
46967,None,293.09,0.25,0.0,90,Rain,light rain,8/24/2018 4:00,916,very low
22292,None,273.46,0.0,0.0,90,Clouds,overcast clouds,4/7/2016 4:00,855,very low
21255,None,251.21,0.0,0.0,1,Clear,sky is clear,2/13/2016 5:00,912,very low
19143,None,283.27,0.0,0.0,1,Clear,sky is clear,10/22/2015 22:00,3674,low
9798,None,261.5,0.0,0.0,64,Clouds,broken clouds,11/12/2013 7:00,6874,very high
39990,None,265.93,0.0,0.0,90,Clouds,overcast clouds,12/22/2017 7:00,4955,high
10404,None,271.6,0.51,0.0,64,Rain,light rain,12/4/2013 11:00,3519,low
38700,None,273.29,0.0,0.0,90,Clouds,overcast clouds,11/5/2017 15:00,4525,high
40385,None,247.15,0.0,0.0,1,Clear,sky is clear,1/6/2018 5:00,694,very low
23260,None,285.91,0.7,0.0,90,Mist,mist,5/11/2016 19:00,3243,low
10125,None,275.85,0.0,0.0,64,Clouds,broken clouds,11/25/2013 12:00,4844,high
15132,None,291.86,0.0,0.0,12,Clouds,few clouds,6/21/2014 7:00,2412,very low
47662,None,300.8,0.0,0.0,40,Clouds,scattered clouds,9/13/2018 19:00,3669,low
37423,None,298.3,0.0,0.0,90,Rain,light rain,9/24/2017 20:00,3182,low
41495,None,265.68,0.0,0.0,5,Haze,haze,2/14/2018 7:00,5826,very high
46916,None,285.82,0.0,0.0,1,Mist,mist,8/22/2018 4:00,994,very low
20977,None,270.94,0.0,0.0,90,Clouds,overcast clouds,2/2/2016 4:00,881,very low
18516,None,292.25,0.25,0.0,90,Mist,mist,9/23/2015 19:00,3368,low
21829,None,281.79,0.0,0.0,90,Drizzle,drizzle,3/15/2016 22:00,1776,very low
6017,None,287.86,0.0,0.0,90,Rain,light rain,5/14/2013 13:00,5027,high
39343,None,279.07,0.0,0.0,75,Clouds,broken clouds,11/29/2017 17:00,6347,very high
5787,None,276.9,0.0,0.0,90,Mist,mist,5/5/2013 12:00,4287,low
34057,None,293.82,0.0,0.0,90,Rain,light rain,5/27/2017 13:00,4280,low
21925,None,276.82,0.0,0.0,90,Clouds,overcast clouds,3/19/2016 16:00,6371,very high
12098,None,259.54,0.0,0.0,90,Clouds,overcast clouds,2/8/2014 11:00,4314,low
39078,None,271.15,0.0,0.0,40,Clouds,scattered clouds,11/18/2017 18:00,4556,high
30974,None,274.42,0.0,0.0,1,Clear,sky is clear,2/12/2017 12:00,4297,low
11331,None,259.3,0.0,0.0,64,Clouds,broken clouds,1/9/2014 10:00,4243,low
41580,None,274.36,0.0,0.0,1,Clear,sky is clear,2/17/2018 17:00,4550,high
39991,None,265.75,0.0,0.0,90,Clouds,overcast clouds,12/22/2017 8:00,4509,high
35190,None,290.75,0.0,0.0,1,Clear,sky is clear,7/9/2017 2:00,722,very low
24616,None,294.67,0.0,0.0,20,Clouds,few clouds,7/2/2016 10:00,3429,low
19197,None,275.86,0.0,0.0,90,Rain,light rain,10/28/2015 15:00,5691,high
5702,None,276.89,0.0,0.0,90,Snow,heavy snow,5/3/2013 2:00,337,very low
14956,None,292.92,0.38,0.0,40,Rain,light rain,6/6/2014 22:00,3397,low
45401,None,302.36,0.0,0.0,1,Clear,sky is clear,6/28/2018 17:00,5930,very high
38060,None,279.75,0.0,0.0,75,Clouds,broken clouds,10/15/2017 10:00,5022,high
33846,None,281.02,0.0,0.0,90,Mist,mist,5/20/2017 18:00,3770,low
37455,None,289.81,0.0,0.0,90,Clouds,overcast clouds,9/25/2017 15:00,5764,high
10,None,290.97,0.0,0.0,20,Clouds,few clouds,10/2/2012 19:00,3539,low
16575,None,299.4,0.25,0.0,40,Rain,light rain,7/15/2015 17:00,6128,very high
7147,None,292.92,1.78,0.0,24,Rain,moderate rain,6/23/2013 2:00,656,very low
27714,None,276.426,0.0,0.0,48,Clouds,scattered clouds,10/31/2016 2:00,255,very low
20380,None,269.56,0.0,0.0,90,Clouds,overcast clouds,1/2/2016 23:00,1830,very low
10800,None,264.42,0.0,0.0,90,Clouds,overcast clouds,12/19/2013 17:00,5715,high
39244,None,276.72,0.0,0.0,20,Clouds,few clouds,11/25/2017 14:00,4461,high
11368,None,271.62,0.0,0.0,90,Fog,fog,1/10/2014 20:00,2706,very low
45213,None,291.65,0.0,0.0,1,Clear,sky is clear,6/22/2018 1:00,471,very low
34739,None,292.09,0.0,0.0,90,Rain,moderate rain,6/22/2017 12:00,4880,high
17017,None,290.93,0.0,0.0,40,Clouds,scattered clouds,8/1/2015 3:00,397,very low
10474,None,249.88,0.0,0.0,1,Clear,sky is clear,12/7/2013 0:00,1073,very low
14286,None,282.57,0.25,0.0,90,Rain,light rain,5/12/2014 23:00,922,very low
41821,None,271.02,0.0,0.0,90,Mist,mist,2/24/2018 19:00,2338,very low
24843,None,297.67,0.0,0.0,90,Clouds,overcast clouds,7/10/2016 13:00,3903,low
14910,None,291.78,0.0,0.0,0,Clear,Sky is Clear,6/5/2014 8:00,6045,very high
41150,None,255.5,0.0,0.0,1,Clear,sky is clear,2/1/2018 11:00,4717,high
39161,None,263.22,0.0,0.0,1,Clear,sky is clear,11/22/2017 5:00,2761,very low
41710,None,258.81,0.0,0.0,1,Clear,sky is clear,2/22/2018 0:00,528,very low
41084,None,257.03,0.0,0.0,1,Clear,sky is clear,1/29/2018 23:00,1185,very low
42847,None,273.66,0.0,0.0,90,Snow,light snow,4/2/2018 13:00,4895,high
9670,None,277.01,0.0,0.0,64,Clouds,broken clouds,11/6/2013 15:00,6043,very high
31601,None,270.34,0.0,0.0,40,Clouds,scattered clouds,3/9/2017 2:00,271,very low
16793,None,299.71,0.0,0.0,1,Clear,sky is clear,7/23/2015 12:00,4898,high
47897,None,288.0,0.98,0.0,90,Mist,mist,9/20/2018 7:00,5766,high
1850,None,271.95,0.0,0.0,90,Snow,snow,12/10/2012 4:00,794,very low
41223,None,262.15,0.0,0.0,90,Mist,mist,2/3/2018 22:00,2892,very low
135,None,273.71,0.0,0.0,20,Clouds,few clouds,10/8/2012 9:00,4832,high
10601,None,255.7,0.0,0.0,64,Clouds,broken clouds,12/11/2013 15:00,5634,high
47171,None,290.71,0.25,0.0,90,Rain,light rain,8/28/2018 15:00,5865,very high
8683,None,302.76,0.0,0.0,0,Clear,Sky is Clear,8/27/2013 21:00,2787,very low
